"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12:56 AM",75.2,66.2,73,30,10,"SSW",10.4,0,0,"","Partly Cloudy",200,2011-08-01
"1:56 AM",75,66.9,76,29.92,10,"SSW",9.2,0,0,"","Partly Cloudy",200,2011-08-01
"2:56 AM",75,64.9,71,29.92,10,"SSW",10.4,0,0,"","Partly Cloudy",200,2011-08-01
"3:56 AM",75,66,73,29.92,10,"SSW",8.1,0,0,"","Partly Cloudy",200,2011-08-01
"4:56 AM",75,64,69,29.92,10,"SSW",6.9,0,0,"","Partly Cloudy",200,2011-08-01
"5:56 AM",73.9,64,71,29.93,10,"SW",5.8,0,0,"","Partly Cloudy",220,2011-08-01
"6:56 AM",77,66,69,29.95,10,"SSW",4.6,0,0,"","Clear",200,2011-08-01
"7:56 AM",79,64.9,62,29.96,10,"SSE",4.6,0,0,"","Clear",160,2011-08-01
"8:56 AM",82.9,62.1,49,29.97,10,"SSW",4.6,0,0,"","Clear",200,2011-08-01
"9:56 AM",86,60.8,43,30.03,10,"Calm",0,0,0,"","Partly Cloudy",0,2011-08-01
"10:56 AM",87.1,60.1,40,29.96,10,"South",4.6,0,0,"","Partly Cloudy",190,2011-08-01
"11:56 AM",90,60.1,37,29.94,10,"South",5.8,0,0,"","Partly Cloudy",180,2011-08-01
"12:56 PM",91.4,57.2,31,29.99,10,"Calm",0,0,0,"","Partly Cloudy",0,2011-08-01
"1:56 PM",97,55.9,25,29.89,10,"Calm",0,0,0,"","Scattered Clouds",0,2011-08-01
"2:56 PM",98.1,55,24,29.87,10,"SW",4.6,0,0,"","Scattered Clouds",230,2011-08-01
"3:56 PM",99,54,22,29.83,10,"SSE",8.1,0,0,"","Scattered Clouds",160,2011-08-01
"4:56 PM",98.6,53.6,22,29.89,10,"South",6.9,0,0,"","Scattered Clouds",170,2011-08-01
"5:56 PM",99,53.1,21,29.79,10,"SE",5.8,0,0,"","Scattered Clouds",140,2011-08-02
"6:56 PM",98.6,53.6,22,29.87,10,"SW",8.1,0,0,"","Scattered Clouds",220,2011-08-02
"7:56 PM",97,52,22,29.8,10,"South",13.8,0,0,"","Mostly Cloudy",190,2011-08-02
"8:56 PM",96.1,53.1,23,29.81,10,"SW",12.7,0,0,"","Mostly Cloudy",220,2011-08-02
"9:56 PM",95,53.1,24,29.83,10,"SW",8.1,0,0,"","Mostly Cloudy",220,2011-08-02
"10:56 PM",93.9,53.1,25,29.84,10,"SW",8.1,0,0,"","Mostly Cloudy",220,2011-08-02
"11:56 PM",91.9,54,27,29.84,10,"SW",9.2,0,0,"","Scattered Clouds",220,2011-08-02
"12:56 AM",91,54,28,29.83,10,"West",12.7,17.3,0,"","Scattered Clouds",280,2011-08-02
"1:56 AM",88,57,35,29.82,10,"SW",9.2,0,0,"","Partly Cloudy",230,2011-08-02
"2:56 AM",87.1,57,36,29.82,10,"SSW",6.9,0,0,"","Partly Cloudy",200,2011-08-02
"3:56 AM",84,55.9,38,29.82,10,"SSW",6.9,0,0,"","Partly Cloudy",210,2011-08-02
"4:56 AM",84,55.9,38,29.83,10,"SSW",12.7,0,0,"","Partly Cloudy",200,2011-08-02
"5:56 AM",82.9,55.9,39,29.85,10,"SW",4.6,0,0,"","Partly Cloudy",220,2011-08-02
"6:56 AM",84,57,40,29.85,10,"SSW",9.2,0,0,"","Partly Cloudy",200,2011-08-02
"7:56 AM",87.1,57,36,29.86,10,"SSW",8.1,0,0,"","Partly Cloudy",200,2011-08-02
